id;name;band_meter;in_use;command_running_band
1;microchip;BAND80;false;zero defect Street
2;Savings Account seize content;BAND15;true;Balboa US Dollar Tasty
3;Ergonomic Frozen Shoes mission-critical;BAND20;true;best-of-breed Ports
4;Wyoming Silver;BAND40;true;Health
5;Devolved interfaces Identity;BAND15;false;Stand-alone service-desk
6;West Virginia;BAND10;true;platforms scale
7;yellow deposit architecture;BAND20;true;supply-chains
8;Function-based AI cross-platform;BAND80;false;Ridges Customer
9;deploy Haiti pixel;BAND160;false;knowledge user
10;magnetic auxiliary;BAND15;false;Kids Borders Utah
