id;crm_estacao_id;vsat_id;vsat_uid;vsat_group;hub;name;ip_address;status;status_desc;object_oid;latitude;longitude;lan_ip_address
1;18066;64730;1691;North Dakota microchip;61141;payment Cambridgeshire;connect;47799;RAM Mississippi Chips;Web;82164;58182;Borders Practical Fresh Gloves Dobra
2;95194;73649;13426;program Money Market Account SMTP;40459;experiences PCI;Facilitator coherent Tasty;72866;Ergonomic Wooden Sausages complexity Concrete;Intelligent Soft Bacon Brazilian Real navigating;62627;81654;Corporate
3;34852;78599;99884;payment Unbranded Wooden Towels matrix;84012;Handcrafted Rubber Chips Syrian Arab Republic;Brunei Darussalam Optimization;45355;static virtual;Baby;30035;6386;Global Handmade withdrawal
4;63423;83335;50409;Soft;76478;Intranet gold interface;Mississippi;25023;benchmark;Chief withdrawal hack;98637;61962;world-class
5;26480;10116;94133;Music sensor;77801;Hawaii THX enhance;Optimized CFA Franc BEAC;69398;Bedfordshire;West Virginia quantify;56905;6313;application
6;30730;92268;30389;Keyboard Bacon Global;23645;program Principal;Summit Avon;56563;grow;invoice online Metrics;99580;52268;bus Regional Officer
7;92343;12455;45824;South Carolina;14891;Concrete;Kroon;57983;Pakistan Rupee Frozen contextually-based;tan;27852;54067;XML Ball Missouri
8;42654;72765;87389;CSS alarm Berkshire;97937;Bike redundant analyzer;Gloves;43744;virtual;Functionality zero administration;16582;15333;Generic navigating
9;12957;28812;99655;Licensed Rubber Gloves Soft;25099;Forward monitor;Wooden azure USB;31487;content user-centric Central;mindshare;31124;9846;maroon withdrawal Beauty
10;15388;13600;26443;Internal Plastic;83740;harness pink South Carolina;HTTP;83896;International SMTP;North Carolina;29280;98954;AI
