id;numero;competencia;tipo;servico;condicao_pagamento;total_nf
1;Small;Managed reboot Developer;Coordinator reboot Soft;Shoes;payment neural;78226
2;clicks-and-mortar;Credit Card Account calculate;Personal Loan Account Intelligent Sudan;e-tailers Engineer;Optional purple;8559
3;withdrawal B2B withdrawal;upward-trending Technician Handcrafted Fresh Chicken;fuchsia Chicken;Way Berkshire efficient;GB Rubber circuit;16032
4;tertiary;red Program West Virginia;Consultant Metrics circuit;copying fuchsia;bandwidth Alabama;73063
5;attitude;Fresh Specialist Rustic;cross-media Small Plastic Bacon syndicate;reboot Wooden calculate;Pound Sterling Nebraska Cape;3287
6;Plastic;Intelligent recontextualize circuit;withdrawal;Consultant;EXE SQL Fresh;2556
7;tan Architect Fantastic;TCP Plastic;Saint Helena Pound bypassing;attitude-oriented Money Market Account zero tolerance;Applications Track;18566
8;methodical;Cambridgeshire Bond Markets Units European Composite Unit (EURCO) Isle of Man;Licensed Music Refined;Officer Automotive;Stand-alone;13535
9;Configuration;SCSI convergence infomediaries;Music;Branding;Fish transmitting Fish;98452
10;Practical Metal Bacon indexing;compressing;digital Ameliorated magenta;THX;indexing deposit;22715
